ADM0_NAME,flow_name,metric,value
Uzbekistan,Banana_irr_2030y_SOC,cf_mean,
Vanuatu,Banana_irr_2030y_SOC,cf_mean,85.76128
Venezuela,Banana_irr_2030y_SOC,cf_mean,37.718998
Viet Nam,Banana_irr_2030y_SOC,cf_mean,39.11492
Wake Island,Banana_irr_2030y_SOC,cf_mean,
Wallis and Futuna,Banana_irr_2030y_SOC,cf_mean,
West Bank,Banana_irr_2030y_SOC,cf_mean,44.87455
Western Sahara,Banana_irr_2030y_SOC,cf_mean,14.988108
Yemen,Banana_irr_2030y_SOC,cf_mean,15.968266
Zambia,Banana_irr_2030y_SOC,cf_mean,21.285332
Zimbabwe,Banana_irr_2030y_SOC,cf_mean,25.580616
Abyei,Banana_irr_2030y_SOC,cf_median,18.373402
Afghanistan,Banana_irr_2030y_SOC,cf_median,
Aksai Chin,Banana_irr_2030y_SOC,cf_median,
Albania,Banana_irr_2030y_SOC,cf_median,
Algeria,Banana_irr_2030y_SOC,cf_median,13.190878
American Samoa,Banana_irr_2030y_SOC,cf_median,
Andorra,Banana_irr_2030y_SOC,cf_median,
Angola,Banana_irr_2030y_SOC,cf_median,21.655672
Anguilla,Banana_irr_2030y_SOC,cf_median,
Antarctica,Banana_irr_2030y_SOC,cf_median,
Antigua and Barbuda,Banana_irr_2030y_SOC,cf_median,61.038498
Argentina,Banana_irr_2030y_SOC,cf_median,31.60033
Armenia,Banana_irr_2030y_SOC,cf_median,
Aruba,Banana_irr_2030y_SOC,cf_median,
Arunachal Pradesh,Banana_irr_2030y_SOC,cf_median,46.716972
Ashmore and Cartier Islands,Banana_irr_2030y_SOC,cf_median,
Australia,Banana_irr_2030y_SOC,cf_median,21.477007
Austria,Banana_irr_2030y_SOC,cf_median,
Azerbaijan,Banana_irr_2030y_SOC,cf_median,
Azores Islands,Banana_irr_2030y_SOC,cf_median,
Bahamas,Banana_irr_2030y_SOC,cf_median,91.91972
Bahrain,Banana_irr_2030y_SOC,cf_median,
Baker Island,Banana_irr_2030y_SOC,cf_median,
Bangladesh,Banana_irr_2030y_SOC,cf_median,25.70082
Barbados,Banana_irr_2030y_SOC,cf_median,64.85247
Bassas da India,Banana_irr_2030y_SOC,cf_median,
Belarus,Banana_irr_2030y_SOC,cf_median,
Belgium,Banana_irr_2030y_SOC,cf_median,
Belize,Banana_irr_2030y_SOC,cf_median,40.678955
Benin,Banana_irr_2030y_SOC,cf_median,14.719384
Bermuda,Banana_irr_2030y_SOC,cf_median,
Bhutan,Banana_irr_2030y_SOC,cf_median,50.44358
Bird Island,Banana_irr_2030y_SOC,cf_median,
Bolivia,Banana_irr_2030y_SOC,cf_median,24.786028
Bosnia and Herzegovina,Banana_irr_2030y_SOC,cf_median,
Botswana,Banana_irr_2030y_SOC,cf_median,20.350794
Bouvet Island,Banana_irr_2030y_SOC,cf_median,
Brazil,Banana_irr_2030y_SOC,cf_median,25.625795
British Indian Ocean Territory,Banana_irr_2030y_SOC,cf_median,
British Virgin Islands,Banana_irr_2030y_SOC,cf_median,
Brunei Darussalam,Banana_irr_2030y_SOC,cf_median,35.348053
Bulgaria,Banana_irr_2030y_SOC,cf_median,
Burkina Faso,Banana_irr_2030y_SOC,cf_median,17.742619
Burundi,Banana_irr_2030y_SOC,cf_median,37.238796
Cambodia,Banana_irr_2030y_SOC,cf_median,26.62958
Cameroon,Banana_irr_2030y_SOC,cf_median,27.505543
Canada,Banana_irr_2030y_SOC,cf_median,
Cape Verde,Banana_irr_2030y_SOC,cf_median,
Cayman Islands,Banana_irr_2030y_SOC,cf_median,
Central African Republic,Banana_irr_2030y_SOC,cf_median,22.530476
Chad,Banana_irr_2030y_SOC,cf_median,13.366335
Chile,Banana_irr_2030y_SOC,cf_median,
China,Banana_irr_2030y_SOC,cf_median,40.02668
China/India,Banana_irr_2030y_SOC,cf_median,
Christmas Island,Banana_irr_2030y_SOC,cf_median,
Clipperton Island,Banana_irr_2030y_SOC,cf_median,
Cocos (Keeling) Islands,Banana_irr_2030y_SOC,cf_median,
Colombia,Banana_irr_2030y_SOC,cf_median,31.92938
Comoros,Banana_irr_2030y_SOC,cf_median,76.1977
Congo,Banana_irr_2030y_SOC,cf_median,27.603598
Cook Islands,Banana_irr_2030y_SOC,cf_median,
Costa Rica,Banana_irr_2030y_SOC,cf_median,46.920315
Croatia,Banana_irr_2030y_SOC,cf_median,
Cuba,Banana_irr_2030y_SOC,cf_median,37.76629
Cyprus,Banana_irr_2030y_SOC,cf_median,59.139587
Czech Republic,Banana_irr_2030y_SOC,cf_median,
Côte d'Ivoire,Banana_irr_2030y_SOC,cf_median,21.704563
Dem People's Rep of Korea,Banana_irr_2030y_SOC,cf_median,
Democratic Republic of the Congo,Banana_irr_2030y_SOC,cf_median,23.878862
Denmark,Banana_irr_2030y_SOC,cf_median,
Djibouti,Banana_irr_2030y_SOC,cf_median,11.705755
Dominica,Banana_irr_2030y_SOC,cf_median,92.36189
Dominican Republic,Banana_irr_2030y_SOC,cf_median,45.407444
Ecuador,Banana_irr_2030y_SOC,cf_median,41.02989
Egypt,Banana_irr_2030y_SOC,cf_median,18.352446
El Salvador,Banana_irr_2030y_SOC,cf_median,39.685375
Equatorial Guinea,Banana_irr_2030y_SOC,cf_median,33.144367
Eritrea,Banana_irr_2030y_SOC,cf_median,18.024721
Estonia,Banana_irr_2030y_SOC,cf_median,
Ethiopia,Banana_irr_2030y_SOC,cf_median,29.92115
Europa Island,Banana_irr_2030y_SOC,cf_median,
Falkland Islands (Malvinas),Banana_irr_2030y_SOC,cf_median,
Faroe Islands,Banana_irr_2030y_SOC,cf_median,
Fiji,Banana_irr_2030y_SOC,cf_median,81.212616
Finland,Banana_irr_2030y_SOC,cf_median,
France,Banana_irr_2030y_SOC,cf_median,62.33314
French Guiana,Banana_irr_2030y_SOC,cf_median,29.750717
French Polynesia,Banana_irr_2030y_SOC,cf_median,76.2716
French Southern and Antarctic Territories,Banana_irr_2030y_SOC,cf_median,
Gabon,Banana_irr_2030y_SOC,cf_median,29.871311
Gambia,Banana_irr_2030y_SOC,cf_median,17.410429
Gaza Strip,Banana_irr_2030y_SOC,cf_median,21.741796
Georgia,Banana_irr_2030y_SOC,cf_median,
Germany,Banana_irr_2030y_SOC,cf_median,
Ghana,Banana_irr_2030y_SOC,cf_median,19.116152
Gibraltar,Banana_irr_2030y_SOC,cf_median,45.402447
Glorioso Island,Banana_irr_2030y_SOC,cf_median,
