ECO_ID,flow_name,metric,value,ECO_NAME,BIOME_NUM,BIOME_NAME,REALM
521,Apple_irr_2030y_SOC,cf_mean,31.233246,Bajío dry forests,2.0,Tropical & Subtropical Dry Broadleaf Forests,Neotropic
646,Apple_irr_2030y_SOC,cf_mean,63.79669,Balkan mixed forests,4.0,Temperate Broadleaf & Mixed Forests,Palearctic
522,Apple_irr_2030y_SOC,cf_mean,28.299658,Balsas dry forests,2.0,Tropical & Subtropical Dry Broadleaf Forests,Neotropic
647,Apple_irr_2030y_SOC,cf_mean,,Baltic mixed forests,4.0,Temperate Broadleaf & Mixed Forests,Palearctic
814,Apple_irr_2030y_SOC,cf_mean,19.61373,Baluchistan xeric woodlands,13.0,Deserts & Xeric Shrublands,Palearctic
136,Apple_irr_2030y_SOC,cf_mean,,Banda Sea Islands moist deciduous forests,1.0,Tropical & Subtropical Moist Broadleaf Forests,Australasia
564,Apple_irr_2030y_SOC,cf_mean,36.26468,Belizian pine savannas,7.0,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Neotropic
565,Apple_irr_2030y_SOC,cf_mean,26.665806,Beni savanna,7.0,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Neotropic
779,Apple_irr_2030y_SOC,cf_mean,,Russian Bering tundra,11.0,Tundra,Palearctic
409,Apple_irr_2030y_SOC,cf_mean,,Beringia lowland tundra,11.0,Tundra,Nearctic
410,Apple_irr_2030y_SOC,cf_mean,,Beringia upland tundra,11.0,Tundra,Nearctic
325,Apple_irr_2030y_SOC,cf_mean,,Bermuda subtropical conifer forests,3.0,Tropical & Subtropical Coniferous Forests,Nearctic
137,Apple_irr_2030y_SOC,cf_mean,,Biak-Numfoor rain forests,1.0,Tropical & Subtropical Moist Broadleaf Forests,Australasia
348,Apple_irr_2030y_SOC,cf_mean,,Blue Mountains forests,5.0,Temperate Conifer Forests,Nearctic
742,Apple_irr_2030y_SOC,cf_mean,,Bohai Sea saline meadow,9.0,Flooded Grasslands & Savannas,Palearctic
523,Apple_irr_2030y_SOC,cf_mean,,Bolivian montane dry forests,2.0,Tropical & Subtropical Dry Broadleaf Forests,Neotropic
444,Apple_irr_2030y_SOC,cf_mean,64.620575,Bolivian Yungas,1.0,Tropical & Subtropical Moist Broadleaf Forests,Neotropic
219,Apple_irr_2030y_SOC,cf_mean,,Borneo lowland rain forests,1.0,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan
221,Apple_irr_2030y_SOC,cf_mean,,Borneo peat swamp forests,1.0,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan
222,Apple_irr_2030y_SOC,cf_mean,28.853209,Brahmaputra Valley semi-evergreen forests,1.0,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan
