flow,level,n_regions,mean_leaf,median_leaf,std_leaf,p10,p90,max_leaf,mean_within_std,cv,flow_label
Barley|irr|ron|ct,subcountry,2315,45.276605562623196,11.060132,72.48651860416956,0.6896981,144.29446399999995,381.4011,21.78550158459784,1.6009706934392787,"Barley (irrigated, residues retained)"
Barley|irr|ron|ct,ecoregion,658,57.10947545157903,16.1164275,79.13091093668524,1.1388339400000003,184.306158,381.4011,33.06558393307599,1.3856003808645967,"Barley (irrigated, residues retained)"
Barley|irr|ron|rt,country,160,18.511619347025,6.108394199999999,27.126196211380346,0.454709478,62.44696499999998,133.49039,11.119790647775,1.4653605231862006,"Barley (irrigated, residues retained, reduced till.)"
Barley|irr|ron|rt,subcountry,2315,15.846812100086941,3.8710463,25.37028195545311,0.241394344,50.50306239999998,133.49039,7.624925676919309,1.6009707059828089,"Barley (irrigated, residues retained, reduced till.)"
Barley|irr|ron|rt,ecoregion,658,19.98831660918693,5.64074965,27.69581926599191,0.3985918540000001,64.5071585,133.49039,11.572954598737537,1.3856003888422748,"Barley (irrigated, residues retained, reduced till.)"
Barley|rf|roff|ct,country,153,64.89288750888889,22.94593,90.12823467284196,2.00831676,210.8811840000001,448.50555,39.11671871630719,1.3888769344790888,"Barley (rainfed, residues removed)"
Barley|rf|roff|ct,subcountry,2189,55.136670817129286,15.002137,84.9424318707896,0.922259456,170.733026,448.50555,26.595491378778895,1.5405796289826148,"Barley (rainfed, residues removed)"
Barley|rf|roff|ct,ecoregion,638,69.00710671568966,22.820814,92.1145567260502,2.06811493,214.65186600000004,448.50555,39.83468100552037,1.3348560910626726,"Barley (rainfed, residues removed)"
Barley|rf|roff|rt,country,153,22.712510062156863,8.0310755,31.544880873940762,0.7029108,73.80841600000002,156.97693,13.690850939614378,1.3888769135429122,"Barley (rainfed, residues removed, reduced till.)"
Barley|rf|roff|rt,subcountry,2189,19.29783413352033,5.2507477,29.729849656709952,0.322790784,59.756556599999996,156.97693,9.308421591370307,1.5405796034420887,"Barley (rainfed, residues removed, reduced till.)"
Barley|rf|roff|rt,ecoregion,638,24.15248666704702,7.98728465,32.24009348279496,0.7238402190000001,75.128147,156.97693,13.942137784281817,1.3348560720574765,"Barley (rainfed, residues removed, reduced till.)"
Barley|rf|ron|ct,country,153,57.10574023535948,20.19242,79.31284619191018,1.76731858,185.5754440000001,394.68488,34.42271148485621,1.3888769476592866,"Barley (rainfed, residues retained)"
Barley|rf|ron|ct,subcountry,2189,48.52026912381453,13.20188,74.74933828433933,0.811588272,150.245062,394.68488,23.40403179511512,1.540579630619797,"Barley (rainfed, residues retained)"
Barley|rf|ron|ct,ecoregion,638,60.7262526812069,20.082316499999997,81.06080821178294,1.81994118,188.893638,394.68488,35.054518414303764,1.3348560899571038,"Barley (rainfed, residues retained)"
Barley|rf|ron|rt,country,153,19.987009019869284,7.0673466,27.75949608880948,0.6185615,64.95140360000003,138.13971,12.047949152490196,1.3888769480823013,"Barley (rainfed, residues retained, reduced till.)"
Barley|rf|ron|rt,subcountry,2189,16.982094290545913,4.6206584,26.16226868814364,0.28405590599999997,52.585768,138.13971,8.1914112044016,1.5405796387968718,"Barley (rainfed, residues retained, reduced till.)"
Barley|rf|ron|rt,ecoregion,638,21.254188612189655,7.02881075,28.371283180314947,0.6369793850000001,66.1127768,138.13971,12.269081615215203,1.3348560934499054,"Barley (rainfed, residues retained, reduced till.)"
Cabbages|irr|na|ct,country,149,112.29985211912752,35.599216,153.70185026140885,2.9717991,366.44035400000047,794.1959,74.44772287695302,1.3686736657352152,Cabbages (irrigated)
Cabbages|irr|na|ct,subcountry,2115,98.37597031799055,26.129568,151.63685593324965,1.3603473,318.26784000000026,844.0583,47.6416373070098,1.541401375184393,Cabbages (irrigated)
Cabbages|irr|na|ct,ecoregion,611,121.85957203517185,40.496613,162.0047648538145,2.3714232,376.8864,844.0583,72.92361781153355,1.329438156955415,Cabbages (irrigated)
Carrots|irr|na|ct,country,193,120.47974383699481,50.563225,181.58855758304065,4.430165000000001,359.92305200000004,1033.5269,86.53431756393783,1.507212347900773,Carrots (irrigated)
Carrots|irr|na|ct,subcountry,2922,105.27496121718241,35.686795000000004,164.9580252429455,2.3020531,314.820285,1033.5269,63.11777377814087,1.566925537997937,Carrots (irrigated)
Carrots|irr|na|ct,ecoregion,741,121.94698149906883,44.550804,168.4122706114282,3.8190215,354.9653,940.9535,89.08554425630768,1.3810286121162758,Carrots (irrigated)
Cocoa|irr|na|ct,country,79,59.04130638354431,36.97134,60.15124176869733,13.0680715,119.57263800000004,332.98492,47.638588101265825,1.0187993026093063,Cocoa (irrigated)
Cocoa|irr|na|ct,subcountry,908,57.398657477092506,33.7962725,63.36607600081979,7.8987366,133.73105,452.88403,36.04853778817181,1.1039644268005544,Cocoa (irrigated)
Cocoa|irr|na|ct,ecoregion,307,67.10963351563518,46.909122,61.64058804061344,10.8450962,152.929686,332.98492,49.366706839364824,0.9185058062677758,Cocoa (irrigated)
Cocoa|rf|na|ct,country,79,58.391523121518986,39.261295,58.849921092817375,12.9129491,116.2661152,332.98492,46.33101052405063,1.0078504198348177,Cocoa (rainfed)
Cocoa|rf|na|ct,subcountry,909,57.068666676457646,34.106327,61.60556084286188,7.8273161600000005,133.72784,428.2192,35.589179535390535,1.0794988639234464,Cocoa (rainfed)
Cocoa|rf|na|ct,ecoregion,306,67.10899811764706,47.8974515,61.15035411862597,10.959041,151.65591999999998,332.98492,48.33173244563726,0.9112094627224929,Cocoa (rainfed)
Coconuts|irr|na|ct,country,94,40.05493359723404,25.3469895,49.59537208865829,4.47847829,83.454142,322.6911,31.328444345744682,1.238183854886806,Coconuts (irrigated)
