filename;filepath;crop_code;tech_code;technology;irrigation_practice;crop_name
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TAROD.LRLM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TAROD.LRLM.tif;TAROD;LRLM;low_input_rainfed;rf;Taro dryaland (Colocasia esculenta)
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TAROW.HILM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TAROW.HILM.tif;TAROW;HILM;high_input_irrigated;irr;Taro wetland (Colocasia esculenta)
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TAROW.HRLM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TAROW.HRLM.tif;TAROW;HRLM;high_input_rainfed;rf;Taro wetland (Colocasia esculenta)
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TAROW.LILM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TAROW.LILM.tif;TAROW;LILM;low_input_irrigated;irr;Taro wetland (Colocasia esculenta)
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TAROW.LRLM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TAROW.LRLM.tif;TAROW;LRLM;low_input_rainfed;rf;Taro wetland (Colocasia esculenta)
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TEA.HILM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TEA.HILM.tif;TEA;HILM;high_input_irrigated;irr;Tea
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TEA.HRLM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TEA.HRLM.tif;TEA;HRLM;high_input_rainfed;rf;Tea
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TEA.LILM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TEA.LILM.tif;TEA;LILM;low_input_irrigated;irr;Tea
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TEA.LRLM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TEA.LRLM.tif;TEA;LRLM;low_input_rainfed;rf;Tea
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TEF.HILM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TEF.HILM.tif;TEF;HILM;high_input_irrigated;irr;Tef
