file_name,file_path,suffix,SPAM_Crop,Crop,Technology_Suffix,Technology
spam2020_V2r0_global_Y_OFIB_A.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_OFIB_A.tif",.tif,OFIB,Other Fibre Crops,A,All
spam2020_V2r0_global_Y_OFIB_I.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_OFIB_I.tif",.tif,OFIB,Other Fibre Crops,I,Irrigated
spam2020_V2r0_global_Y_OFIB_R.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_OFIB_R.tif",.tif,OFIB,Other Fibre Crops,R,Rainfed
spam2020_V2r0_global_Y_OILP_A.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_OILP_A.tif",.tif,OILP,Oilpalm,A,All
spam2020_V2r0_global_Y_OILP_I.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_OILP_I.tif",.tif,OILP,Oilpalm,I,Irrigated
spam2020_V2r0_global_Y_OILP_R.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_OILP_R.tif",.tif,OILP,Oilpalm,R,Rainfed
spam2020_V2r0_global_Y_ONIO_A.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_ONIO_A.tif",.tif,ONIO,Onion,A,All
spam2020_V2r0_global_Y_ONIO_I.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_ONIO_I.tif",.tif,ONIO,Onion,I,Irrigated
spam2020_V2r0_global_Y_ONIO_R.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_ONIO_R.tif",.tif,ONIO,Onion,R,Rainfed
spam2020_V2r0_global_Y_OOIL_A.tif,"C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\Ecoregions CFs\data\crops\spam2020V2r0_global_yield\spam2020_V2r0_global_Y_OOIL_A.tif",.tif,OOIL,Other Oil Crops,A,All
