Area;Item;Unit;Y2014;Y2015;Y2016;Y2017;Y2018;Y2019;Y2020;Y2021;Y2022;Y2023;avg_yield_1423;ratio_yield_20_toavg
Argentina;Groundnuts, excluding shelled;kg/ha;2848.5;2380.4;2928.6;3086.6;2075.5;3455.2;3498.9;3154.3;3311.8;2590.4;2933.02;0.838269170310669
Argentina;Maize (corn);kg/ha;6840.9;7309.0;7442.7;7575.9;6088.3;7861.5;7553.9;7429.6;6732.9;5109.4;6994.410000000001;0.9259336236910737
Argentina;Olives;kg/ha;2792.8;2824.6;2835.8;2825.4;2809.2;2792.6;2782.7;2768.6;2757.0;2745.4;2793.41;1.0038487799619076
Argentina;Oranges;kg/ha;21313.2;23139.9;22452.3;21895.2;21875.6;21821.9;21925.0;22029.3;21643.9;22308.0;22040.43;1.0052647662485747
Argentina;Potatoes;kg/ha;31057.7;31342.5;32196.9;32858.6;33460.0;34133.6;36077.1;35541.7;35546.8;35975.2;33819.009999999995;0.937409326137633
Argentina;Rape or colza seed;kg/ha;1614.6;1920.3;1902.9;1999.2;1945.6;2136.8;1963.2;996.2;2048.2;1705.8;1823.2800000000002;0.9287286063569683
Argentina;Rice;kg/ha;6504.2;6698.9;6763.2;6508.3;6903.0;6491.9;6599.6;7266.2;6569.7;6723.7;6702.87;1.0156479180556397
Argentina;Seed cotton, unginned;kg/ha;1988.3;1745.2;1786.6;2432.4;2548.5;2621.6;2529.4;2560.4;2323.7;1751.6;2228.77;0.8811457262591919
Argentina;Sorghum;kg/ha;4400.9;4704.3;4497.6;4662.6;3573.9;4674.0;4630.3;4434.3;4119.7;3217.5;4291.51;0.9268319547329547
Argentina;Soya beans;kg/ha;2773.5;3175.2;3014.6;3171.1;2315.7;3334.0;2919.1;2806.7;2763.0;1744.5;2801.74;0.9597958274810728
Argentina;Sugar cane;kg/ha;55887.1;46422.8;47994.5;49499.8;46831.8;43870.8;39452.3;36015.8;33096.4;30309.6;42938.090000000004;1.0883545446019625
Argentina;Sunflower seed;kg/ha;1635.5;2193.4;2122.0;1949.8;2108.2;2039.4;2068.2;1994.7;2067.9;2045.8;2022.4900000000002;0.9778986558359929
Argentina;Sweet potatoes;kg/ha;13544.2;13372.6;13205.8;13116.6;13022.7;12000.0;12019.2;12414.1;12429.1;12234.9;12735.920000000002;1.059631256656017
Argentina;Tomatoes;kg/ha;56585.8;58112.0;59608.0;61078.2;64040.6;67121.1;68079.2;71193.4;71638.0;73216.1;65067.23999999999;0.9557579995064571
Argentina;Unmanufactured tobacco;kg/ha;1934.8;1976.8;2137.9;2043.8;1902.0;2020.5;1989.1;2014.1;2026.2;2035.5;2008.0700000000002;1.0095369765220452
Argentina;Wheat;kg/ha;2661.9;2810.0;2862.3;3304.7;3180.6;3216.0;2938.7;2759.5;3382.5;2287.6;2940.3799999999997;1.0005716813557015
Armenia;Apples;kg/ha;13294.6;12156.1;6068.7;10930.7;10451.5;8111.4;8326.0;8559.4;8553.2;9068.1;9551.970000000001;1.1472459764592844
Armenia;Barley;kg/ha;3001.6;2743.3;2763.3;1612.1;2384.6;1374.3;1797.2;783.8;1800.6;2099.2;2036.0;1.1328733585577564
Armenia;Cabbages;kg/ha;36795.3;39969.8;34473.6;34325.7;35151.7;32815.9;33205.2;29695.6;35105.6;39421.5;35095.990000000005;1.056942587305603
Armenia;Carrots and turnips;kg/ha;27090.6;26940.9;25080.7;21840.1;21551.7;17306.2;17050.7;15605.0;19333.0;22547.0;21434.59;1.257109092295331
Armenia;Grapes;kg/ha;16009.6;18865.2;11013.0;14142.1;12018.7;14608.7;18943.5;15798.7;14938.9;14908.2;15124.66;0.7984089529390028
Armenia;Maize (corn);kg/ha;7082.9;6882.1;6390.9;4900.2;5506.1;4184.7;5206.8;5377.7;5164.4;7748.9;5844.469999999999;1.1224686947837441
Armenia;Potatoes;kg/ha;23172.5;21884.8;21031.4;21627.8;18812.9;20069.4;21305.2;18299.2;18245.6;19498.9;20394.77;0.957267239922648
Armenia;Sugar beet;kg/ha;15000.0;15264.4;15134.7;15167.2;15141.5;15890.2;15399.1;15476.5;15588.4;15488.0;15355.0;0.9971361962712106
Armenia;Tomatoes;kg/ha;45882.2;43314.8;39074.7;37657.2;32010.2;37012.6;38819.9;45664.9;43084.0;41352.2;40387.27;1.040375426005734
Armenia;Unmanufactured tobacco;kg/ha;2456.9;2604.8;2439.7;2363.0;2325.7;2485.6;2529.3;3485.8;3088.6;3162.4;2694.18;1.0651879966789228
Armenia;Wheat;kg/ha;3226.0;3343.7;3242.7;2178.3;2824.0;1956.5;2252.8;1676.6;2450.9;2526.5;2567.8;1.1398259943181819
Australia;Apples;kg/ha;15970.7;15949.9;15961.7;15968.6;15945.0;15938.4;15909.1;15869.3;15864.2;15859.1;15923.6;1.0009114280506126
Australia;Bananas;kg/ha;21057.0;21379.7;21324.4;29454.0;29969.6;28293.6;30393.3;29143.3;30751.0;29500.9;27126.68;0.8925217070867593
Australia;Barley;kg/ha;2405.4;2120.2;2189.2;2793.9;2243.8;1987.8;2009.0;2667.7;2822.1;3543.2;2478.23;1.233563962170234
Australia;Cabbages;kg/ha;21568.0;30929.3;37345.3;35386.1;33253.5;32055.3;34668.4;28287.0;30027.6;31718.4;31523.890000000003;0.9092975158934361
Australia;Carrots and turnips;kg/ha;53698.6;56469.2;57123.4;49063.0;50587.6;62079.5;56945.3;57143.4;58296.4;59611.2;56101.759999999995;0.9851868371928849
Australia;Grapes;kg/ha;11296.8;11674.0;13010.3;13323.6;12274.2;12144.9;11343.9;14018.6;12758.4;12516.2;12436.09;1.0962799389980518
Australia;Groundnuts, excluding shelled;kg/ha;2957.8;3239.9;3097.6;3008.0;3382.6;2222.5;3005.5;2809.1;3305.3;3205.3;3023.36;1.0059424388620861
Australia;Maize (corn);kg/ha;7455.4;8300.1;7508.0;6436.3;7336.5;5550.7;7091.2;6682.2;8174.9;4971.9;6950.720000000001;0.9801895306859207
Australia;Olives;kg/ha;2251.7;2300.8;2314.2;2330.8;2347.4;2373.5;2429.7;2427.9;2450.1;2472.3;2369.84;0.9753632135654609
Australia;Oranges;kg/ha;19587.6;19572.2;19665.2;19683.9;19673.6;19699.9;19670.3;19601.7;19591.2;19580.6;19632.620000000003;0.998084421691586
Australia;Potatoes;kg/ha;39697.0;39250.1;40409.6;38953.4;39968.2;37802.2;39797.1;40337.2;42035.8;42071.1;40032.17;1.005906711795583
Australia;Rape or colza seed;kg/ha;1408.4;1222.0;1327.4;1608.7;1227.7;1116.0;1130.0;1819.7;2098.4;2047.2;1500.55;1.3279203539823008
Australia;Rice;kg/ha;10682.7;9910.3;10288.9;9820.8;10386.0;8771.0;10030.8;9382.0;11054.5;9516.2;9984.32;0.9953662718826016
Australia;Seed cotton, unginned;kg/ha;5478.3;6467.5;5415.7;4147.7;5050.5;3789.3;4149.6;5270.3;5103.4;3787.4;4865.969999999999;1.172635916714864
Australia;Sorghum;kg/ha;2409.9;3016.0;3439.9;2701.7;2720.1;2108.9;1947.4;2862.3;4260.7;3307.0;2877.39;1.4775546883023518
Australia;Soya beans;kg/ha;1282.5;1854.8;1414.4;1881.1;901.2;1129.8;1772.2;1718.1;2243.1;2512.1;1670.9299999999998;0.9428563367565737
Australia;Sugar beet;kg/ha;;;;;;;;;;32334.0;32334.0;
Australia;Sugar cane;kg/ha;81333.6;85993.6;76929.1;80626.0;75643.4;81981.4;82645.5;85928.2;85324.5;98619.5;83502.48000000001;1.0103693486033725
Australia;Sunflower seed;kg/ha;1064.4;1181.6;840.9;1055.6;951.7;841.8;1284.4;1404.5;1536.1;1475.0;1163.6;0.9059483027094362
Australia;Sweet potatoes;kg/ha;39562.3;37967.8;38107.7;38245.5;38384.0;38824.9;40300.1;40454.1;40925.7;41397.3;39416.94;0.9780854141801137
Australia;Tomatoes;kg/ha;53133.9;66564.9;74616.4;77656.6;80646.2;76949.0;75950.3;75764.7;76991.2;79340.6;73761.38;0.9711795740108993
Australia;Unmanufactured tobacco;kg/ha;;;;;;;;;;;;
Australia;Wheat;kg/ha;2006.1;1917.2;1974.3;2610.0;1917.8;1691.7;1468.1;2524.9;2847.0;3187.5;2214.46;1.5083849873986788
Austria;Apples;kg/ha;45908.3;43444.1;15242.9;27772.1;57559.3;36298.9;40158.6;32486.6;41366.7;30705.6;37094.31;0.9236952981428636
Austria;Barley;kg/ha;5799.4;5537.6;6122.1;5630.0;4961.8;6034.2;6415.9;6006.6;6259.6;6292.2;5905.9400000000005;0.9205162175220937
Austria;Cabbages;kg/ha;58737.2;46893.8;49812.7;49590.7;45220.3;49180.3;48511.6;49200.0;50386.4;46966.7;49449.97;1.019343208634636
Austria;Carrots and turnips;kg/ha;62037.1;40909.6;54275.5;53275.1;51278.7;57542.6;62208.6;62855.6;62984.0;63041.7;57040.85;0.9169286883164064
Austria;Grapes;kg/ha;5950.4;6908.9;5600.3;6897.0;7895.3;6685.1;6927.9;7657.3;7866.2;7296.5;6968.49;1.0058589182869269
Austria;Maize (corn);kg/ha;10791.5;8678.7;11162.9;9910.4;10149.3;10416.8;11344.9;11159.0;9817.3;9929.5;10336.03;0.9110728168604396
Austria;Potatoes;kg/ha;35102.0;26339.0;36155.7;28419.8;29374.2;31341.7;36516.5;34117.5;32006.5;28808.9;31818.18;0.8713370668054168
Austria;Rape or colza seed;kg/ha;3754.3;2977.6;3577.5;2884.7;2980.0;2979.4;3153.5;3072.9;3242.8;3264.8;3188.75;1.0111780561281116
Austria;Sorghum;kg/ha;6628.0;7089.1;7340.3;6792.8;7770.5;7548.2;8689.7;8412.3;7371.8;7178.2;7482.089999999999;0.8610297248466574
Austria;Soya beans;kg/ha;2695.1;2393.8;3064.8;3000.2;2757.9;3146.7;2990.7;3099.2;2650.4;3108.6;2890.7400000000002;0.9665763867990773
Austria;Sugar beet;kg/ha;83870.4;62797.4;81256.9;70136.6;68806.1;70486.0;79471.5;79721.3;79715.5;74991.3;75125.3;0.945311212195567
Austria;Sunflower seed;kg/ha;2811.4;1996.8;3294.1;2333.6;2835.8;3037.2;2419.1;3047.8;2346.6;2722.5;2684.4900000000002;1.1097060890413792
Austria;Tomatoes;kg/ha;303328.5;296134.0;310033.4;303117.3;290750.0;291650.0;293350.0;298850.0;284900.0;284750.0;295686.32;1.007964274757116
Austria;Unmanufactured tobacco;kg/ha;1736.8;1716.8;1728.6;1703.4;;;;;;;1721.4;
Austria;Wheat;kg/ha;5921.7;5696.2;6253.4;4871.2;4645.3;5737.2;5923.4;5529.9;5795.2;6187.7;5656.12;0.9548772664348179
Azerbaijan;Apples;kg/ha;9285.9;9127.7;8992.9;9686.0;9675.0;10092.8;10275.2;10322.6;10932.1;11448.9;9983.91;0.971651160074743
Azerbaijan;Barley;kg/ha;2030.2;2871.2;2615.7;2486.9;2717.0;2888.4;2876.6;2987.9;2794.6;2914.2;2718.2699999999995;0.9449593269832439
Azerbaijan;Cabbages;kg/ha;15994.2;16797.7;17954.1;21152.7;25738.5;32417.7;29983.5;30146.1;34597.1;34944.8;25972.640000000003;0.8662310937682393
Azerbaijan;Carrots and turnips;kg/ha;12625.5;14934.8;20880.8;19670.8;33361.2;27686.9;25887.1;28940.9;32687.2;34411.1;25108.63;0.9699282654294997
Azerbaijan;Grapes;kg/ha;10948.1;11623.2;9791.3;10809.2;11661.9;13899.3;13950.9;13897.4;14355.6;15775.0;12671.189999999999;0.9082704341655377
Azerbaijan;Maize (corn);kg/ha;5418.0;5970.0;6248.5;6607.7;7817.7;8656.0;9338.0;8710.3;8842.7;10029.7;7763.860000000001;0.8314264296423217
Azerbaijan;Olives;kg/ha;491.0;618.3;532.5;604.8;329.2;424.2;232.6;346.1;527.4;900.6;500.66999999999996;2.152493551160791
Azerbaijan;Oranges;kg/ha;13090.9;14753.6;13821.0;12940.8;12271.2;13076.3;14237.9;14207.9;14352.7;13044.7;13579.7;0.9537712724488865
Azerbaijan;Potatoes;kg/ha;13288.1;13773.0;14371.4;15549.9;15155.9;17641.5;18208.3;18928.5;19612.0;20435.8;16696.44;0.9169686351828561
Azerbaijan;Rice;kg/ha;2464.6;2369.6;2153.8;3118.9;2968.4;2761.3;3131.4;3296.0;3424.2;4651.5;3033.9700000000003;0.9688861212237339
Azerbaijan;Seed cotton, unginned;kg/ha;1787.7;1883.5;1761.0;1526.7;1762.8;2949.5;3360.3;2853.6;3094.0;2949.8;2392.8900000000003;0.7121060619587537
Azerbaijan;Sorghum;kg/ha;1265.3;2108.7;9550.0;5189.7;1801.8;1862.1;3409.9;1973.5;2069.9;2015.4;3124.63;0.9163406551511775
Azerbaijan;Soya beans;kg/ha;567.4;596.6;535.5;562.9;561.4;552.2;558.7;557.4;556.0;557.4;560.55;1.0033112582781456
Azerbaijan;Sugar beet;kg/ha;30911.0;37638.9;44272.1;29804.8;32377.6;30212.2;47224.3;36179.7;44159.5;45955.3;37873.54;0.8019926182071518
Azerbaijan;Sunflower seed;kg/ha;1695.0;1723.4;2023.8;1960.7;2041.9;2130.4;2181.5;2272.8;2455.6;2846.7;2133.1800000000003;0.9778501031400414
Azerbaijan;Tomatoes;kg/ha;18836.9;20021.0;21110.5;29263.8;31106.0;35311.0;40001.9;39945.5;41690.5;47620.7;32490.78;0.8122309190313459
Azerbaijan;Unmanufactured tobacco;kg/ha;2577.1;2544.8;1519.7;1654.9;1899.7;1926.8;2210.3;2126.1;2083.6;2308.6;2085.16;0.9433832511423788
Azerbaijan;Wheat;kg/ha;2328.5;3038.5;3047.5;2968.7;2938.3;3155.5;3090.8;3210.1;3111.3;3302.0;3019.12;0.9768085932444673
