ECO ID,Ecoregion name,Threshold,Ecoregion baseline,Target (10% above threshold),Threshold exceedance,Difference between baseline and target,Threshold met or exceeded? (Y/N)
436,Tamaulipan matorral,63.5,48.7,69.9,14.8,21.2,Y
437,Tamaulipan mezquital,68.8,33.8,75.7,35.0,41.9,Y
438,Wyoming Basin shrub steppe,64.4,34.9,70.8,29.5,35.9,Y
439,Alto Paraná Atlantic forests,55.6,47.3,61.2,8.3,13.9,Y
440,Araucaria moist forests,46.1,77.4,50.7,-31.3,-26.7,N
441,Atlantic Coast restingas,53.9,59.3,59.3,-5.4,0.0,N
442,Bahia coastal forests,55.6,50.0,61.2,5.6,11.2,Y
443,Bahia interior forests,55.7,47.8,61.3,7.9,13.5,Y
444,Bolivian Yungas,50.7,71.8,55.8,-21.1,-16.0,N
445,Caatinga Enclaves moist forests,57.2,37.3,62.9,19.9,25.6,Y
446,Caqueta moist forests,53.9,48.5,59.3,5.4,10.8,Y
447,Catatumbo moist forests,53.0,58.0,58.3,-5.0,0.3,Y
448,Cauca Valley montane forests,41.7,104.6,45.9,-62.9,-58.7,N
449,Cayos Miskitos-San Andrés and Providencia moist forests,31.1,NA,34.2,31.1,34.2,Y
450,Central American Atlantic moist forests,53.1,64.9,58.4,-11.8,-6.5,N
451,Central American montane forests,47.4,73.9,52.1,-26.5,-21.8,N
452,Chiapas montane forests,47.3,69.6,52.0,-22.3,-17.6,N
453,Chimalapas montane forests,53.6,57.1,59.0,-3.5,1.9,Y
454,Chocó-Darién moist forests,65.0,64.1,71.5,0.9,7.4,Y
455,Cocos Island moist forests,53.9,NA,59.3,53.9,59.3,Y
456,Cordillera La Costa montane forests,51.0,58.3,56.1,-7.3,-2.2,N
457,Cordillera Oriental montane forests,102.0,82.9,112.2,19.1,29.3,Y
458,Costa Rican seasonal moist forests,56.5,63.6,62.2,-7.1,-1.5,N
459,Cuban moist forests,83.0,68.6,91.3,14.4,22.7,Y
460,Eastern Cordillera Real montane forests,45.0,84.6,49.5,-39.6,-35.1,N
461,Eastern Panamanian montane forests,64.0,72.7,70.4,-8.7,-2.3,N
462,Fernando de Noronha-Atol das Rocas moist forests,51.5,NA,56.7,51.5,56.7,Y
463,Guianan freshwater swamp forests,54.0,49.5,59.4,4.5,9.9,Y
464,Guianan Highlands moist forests,54.5,57.5,60.0,-3.0,2.5,Y
465,Guianan lowland moist forests,53.3,48.3,58.6,5.0,10.3,Y
466,Guianan piedmont moist forests,52.1,48.1,57.3,4.0,9.2,Y
467,Gurupa várzea,60.3,44.3,66.3,16.0,22.0,Y
468,Hispaniolan moist forests,65.0,66.0,71.5,-1.0,5.5,Y
469,Iquitos várzea,49.0,50.3,53.9,-1.3,3.6,Y
470,Isthmian-Atlantic moist forests,49.6,60.7,54.6,-11.1,-6.1,N
